course,course_name,short_description,long_description
AESTHINT 15 - Elements of Rhetoric,AESTHINT 15 , Elements of Rhetoric,"Description:  Rhetorical theory, originating with Aristotle, in contemporary applications. The nature of rhetoric in modern culture; practical examples drawn from American politics, history, and literature 1765 to the present; written exercises with present relevance and attention to public speaking; the history and educational importance of rhetoric in the West; stresses theory and practice as inseparable."
AESTHINT 40 - Monuments of Islamic Architecture,AESTHINT 40 , Monuments of Islamic Architecture,"Description:  An introduction to ten iconic monuments of the Islamic world from the beginning of Islam to the early modern period. The course introduces various types of building-mosques, palaces, multifunctional complexes-and city types and the factors that shaped them, artistic, patronal, socio-political, religio-cultural, and economic. Each case study is divided into two lectures. The first presents the monument or city by ""walking"" through it. The second is devoted to themes elicited from the example, developed in light of comparative monuments, sites, and/or written sources, and to problems of patronage, production, audience and meaning as they pertain to architectural history."
AESTHINT 50 - Literature and Medicine,AESTHINT 50 , Literature and Medicine,"Description:  Examines the relationship between literature and medicine through creative texts that question understandings, shatter binaries, and reconceptualize notions of normality/disability, health/disease, and life/death. Pays particular attention to the work of physician-writers and narratives by patients. New syllabus for 2018."
AESTHINT 53 - Anime as Global Popular Culture,AESTHINT 53 , Anime as Global Popular Culture,"Description:  This course examines Japanese animation (or anime) through its generic conventions, formal aesthetic, and narrative motifs. At the same time, the course approaches anime as a lens through which we study contemporary media culture and its local and global production, distribution, and reception. In this sense, anime will be treated as a node in an extensive transnational network involving commercial as well as non-commercial mediums such as graphic novels, live-action films, video games, character merchandises, and fanzines/fan-events."
"AESTHINT 55 - Shakespeare, The Early Plays",AESTHINT 55 ," Shakespeare, The Early Plays","Description:  The early comedies, tragedies, and histories, considered in the context of the origins of the English stage and the conventions of Elizabethan drama. Particular attention paid to Shakespeare's development as a dramatist, and to poetic expression, thematic design, stagecraft, and character portrayal in plays."
AESTHINT 58 - Modern Art and Modernity,AESTHINT 58 , Modern Art and Modernity,"Description:  The course examines the defining moments in the development of modern European and American art from the eighteenth- through to the twentieth-century. Anchored by a significant date, each lecture focuses on the relationship between a major artistic event and the social, political, cultural, and technological conditions of its emergence. A wide range of media, from painting, sculpture, and print-making to photography, photomontage, video, installation, and performance art, will be considered. Situating the key aesthetic transformations that defined art's modernity in a broader historical context, the course explores the fundamental role of advanced forms of artistic practice in the formation of modern culture and society."
AESTHINT 59 - Nazi Cinema: The Art of Propaganda,AESTHINT 59 , Nazi Cinema: The Art of Propaganda,"Description:  As thinking beings we consider the limits of human potential and wonder what is the worst. The Nazis obsess us because they were masters of extremity who brought to the world unprecedented violence, destruction, and murder. They were also masters of propaganda who engineered sophisticated techniques of mass manipulation; in this endeavor cinema and modern media assumed a seminal role. This course considers why films proved to be so essential to the Hitler regime and so captivating to German audiences of the Third Reich. It also reflects on the continuing allure of Nazi sights and sounds for contemporary mass culture."
AESTHINT 62 - California in the 60's,AESTHINT 62 , California in the 60's,"Description:  This course examines American youth culture in the 1960s through the lens of music in California. Both ""popular"" and ""art"" music will be considered, including early minimalism, songs from L.A. and the Laurel Canyon crowd, and San Francisco psychedelia. In addition to understanding musical forms, performance styles, and the effects of technology (radio, recording, electric instruments), the class will delve into the politics of race, gender, counter-cultures, and the draft. Art-making will be facilitated as part of course work (activist theater, song-writing, etc.)."
"AFRAMER 100 - Race and Modernity: W. E. B. Du Bois, James Baldwin and Lorraine Hansberry",AFRAMER 100 ," Race and Modernity: W. E. B. Du Bois, James Baldwin and Lorraine Hansberry","Description:  This course will examine the classic texts of the towering intellectual figures who exemplify profound interpretations of race and modernity. Works include Du Bois?s The Souls of Black Folk, Dusk of Dawn, Baldwin?s Notes of a Native Son, No Name in the Street and Hansberry?s Raisin in the Sun and To Be Young, Gifted and Black."
"AFRAMER 100X - Into the Fire: The Black Intellectual, 1968-2018",AFRAMER 100X ," Into the Fire: The Black Intellectual, 1968","Description:  If the role of the intellectual is to speak on behalf of those who are voiceless and disempowered then the black intellectual tradition arguably constitutes the original and most enduringly vital intellectual tradition in the United States. This course traces the history of that tradition from the Civil Rights Movement to the present. We will consider a broad range of works by writers, philosophers, activists, scholars, poets, and filmmakers who have sought to impel historic change, record violence, articulate political dissent, celebrate artistic and sexual freedom, and inspire radical imagination. Authors include Malcolm X, Martin Luther King Jr., Angela Davis, James Baldwin, Audre Lorde, Amiri Baraka, Alice Walker, Stuart Hall, Essex Hemphill, Cornel West, bell hooks, Imani Perry, Margo Jefferson, Claudia Rankine, Jesmyn Ward and Ta-Nehisi Coates, as well as films by Isaac Julien, Spike Lee, and Tanya Hamilton among others"
