,original_sents,sentences,weights
471,"great quality honest italian food, generous portions, great prices",quality food portions prices,8.88470533674
293,my extensive knowledge,knowledge,8.68266398105
219,food and faboulous portions,food portions,8.60169760373
252,smaller groups,groups,8.04338436067
220,a fast food restaurant,food restaurant,7.91365405195
224,"food and good value eatery, nothing",food value eatery nothing,7.91365405195
542,a huge smile and great banter.the food is fresh and tasty - my husband,smile banter.the food husband,7.83557751174
214,excellent food and great background music,food background music,7.76059697328
422,my whole perception,perception,7.73384939887
223,"amazing food, friendly staff, reasonable prices",food staff prices,7.62078690162
453,excellent portion sizes,portion sizes,7.55106497507
217,the food - garlic bread,food garlic bread,7.52766148264
353,old movie posters,movie posters,7.5020971519
637,vat registered?food,vat food,7.44842343176
216,food very fresh and lovely flavours,food flavours,7.37237071463
452,a large portion,portion,7.36421435876
454,generous portions,portions,7.36421435876
101,the local community,community,7.27785185989
218,busy and good food special lunch deal,food lunch deal,7.24207422541
368,top notch food,notch food,7.24207422541
268,homemade italian food,homemade food,7.24207422541
213,. great food,food,7.24207422541
537,simple food,simple food,7.24207422541
38,the boss and good care and good food,boss care food,7.24207422541
215,excellent food and excellent company,food company,7.24207422541
563,very friendly staff food,staff food,7.24207422541
630,great value italian food,value food,7.24207422541
37,the usual boring italian food,boring food,7.24207422541
470,a great quality authentic italian food,quality food,7.24207422541
231,really good fresh food,fresh food,7.24207422541
221,food ok. good service,food service,7.24207422541
475,"quick, clean, marvelous food",quick food,7.24207422541
222,great food great staff,food staff,7.24207422541
595,such authentic tasty italian food,tasty food,7.24207422541
601,a positive thing,thing,7.22513193323
366,all night trip advisor,night trip advisor,7.10437700818
676,my 11 year old daughter,year daughter,7.10142916238
51,my recent business trip to north london,business trip london,6.93368463244
416,a pasta - both generous sizes,pasta sizes,6.93171348523
396,"very friendly owner and staff, good prices",owner staff prices,6.80286480311
513,a cold saturday evening,saturday evening,6.7769734951
233,an amazing friday evening,friday evening,6.7769734951
169,the evening specials,evening specials,6.77302984616
185,a nice family run business,family run business,6.76502070872
297,very high levels,levels,6.7358649214
677,21 year olds,year olds,6.67813390876
348,a mixture,mixture,6.66420174223
245,a very nice gesture,gesture,6.64227591781
273,the hotel room,hotel room,6.63801347477
116,"fried courgette) and deep-fried calamari, both superb and extremely generous servings",courgette calamari superb servings,6.61010797323
479,a good rapport,rapport,6.5655591619
415,excellent home-style pasta and pizza dishes,pasta pizza dishes,6.55212258977
202,fiddie's a few weeks,fiddie weeks,6.5269734951
659,2 weeks,weeks,6.5269734951
607,relatively low waiting times,times,6.5269734951
660,a few weeks' time,weeks time,6.5269734951
168,a wonderful evening,evening,6.5269734951
167,a great eve,eve,6.5269734951
365,a saturday night,night,6.5269734951
349,a few months,months,6.5269734951
652,the first warm night,warm night,6.5269734951
198,fiddie's last night,fiddie night,6.5269734951
238,such a fun bubblyatmosphere,fun,6.51231683482
489,special requests,requests,6.49755238737
249,goodness,goodness,6.49713301838
635,value.the cypriot owner,value.the cypriot owner,6.49588733613
394,the owner gentleman,owner gentleman,6.48160162185
336,big and good memories,memories,6.44600223311
