,original_sents,sentences,weights
1298,"this was my third visit to fiddies was just walking by with my son and thought we could quickly have the lunch deal,this was the best pizza i've had in years....we shared a pizza and a pasta pasta with meatballs was greatand the pizza "" ivana"" i think it was called was just lovely,the sun was shining so we sat outside and had a cold peroni, i can highly recommend this place and will be back again and again,great value lunch deal too at 6.95/6.95 with a beer or soft drink
me and my cousin went to london for a week, and near our hostel was this restaurant, we enter... and... was one of the best treatments that i ever recibe, the owner is really funny, friendly and you can breath very confortable ambient.",visit fiddies son thought lunch deal pizza i years pizza pasta pasta meatballs pizza i sun peroni i place value lunch beer cousin week hostel restaurant treatments owner ambient,26.9693514835
509,"i visited here recently with my family on a saturday afternoonthere was a great variety of dishes on the menu to choose from the food was delicious and i was impressed to find the option of gluten free pasta on the menu, which a lot of other italian restaurants don't offer our children were wonderfully catered for and all their needs metthe restaurant is clean and well presented with an open kitchen, which i feel is always a great feature to have however the best part of the dining experience was catching up with neo, the manager there not only does he make everyone feel so welcome with his friendly attitude but he really knows how to engage with his customers and give that little extra to make the overall dining experience a pleasure we will definitely be returning very soonzoe xx
local little italian near swiss cottage and finchley road.",i family saturday variety dishes menu food i option pasta menu lot restaurants children needs metthe restaurant kitchen feature part experience neo manager everyone feel attitude customers dining experience pleasure xx cottage finchley road,25.8136465497
146,"we had zuppetta di cozze mussels cooked in a rich tomato sauce with garlic parsley and chilli which came served with home made bread and we cleared our plates absolutely divine.then spaghetti carbonara and pasta gamberoni prawns courgettes and herbs in a tomato sauce .exemplary service just enough time between courses this certainly won't be our last visit and would highly recommend
and the owner fiddie combined to make this the most fun i've had in a restaurant in years, possibly ever.",cozze mussels tomato sauce parsley chilli home bread plates spaghetti carbonara pasta gamberoni prawns courgettes herbs tomato sauce .exemplary service time courses visit owner fiddie i restaurant years,25.1950253607
33,"packed creating a great atmosphere, this was a really good choice, and reading the reviews, it's easy to see why this new restaurant seems to be doing so well.. food was very good, mussels, minestrone, and my wife and i both thoroughly enjoyed the seafood linguine...even the chef came out to ask if we enjoyed it, and then took our dessert orders, which for us were less of a triumph..and emma, the waitress who spent most of the evening jokingly being beckoned by the boss, all done in fun to make everyone smile.. a local family friendly good food and good value eatery, nothing not to like.",atmosphere choice reviews restaurant food mussels minestrone wife seafood linguine chef orders triumph..and emma waitress evening boss fun everyone family food value eatery nothing,24.6370357411
385,"lovely food, extremely popular, busy little venue, glad i booked in advance and owner accommodated us despite being half hour early.fantastic host service could not be faulted, our only criticism is not seeing fresh/homemade pasta on the menu, other than that can recommend the garlic mushrooms & the chicken/mushroom/cream pasta, very generous portions.",food venue glad i advance owner hour host service criticism pasta menu garlic mushrooms chicken/mushroom/cream pasta portions,24.1970180156
939,generous portions - i had a super minestrone soup which was a meal in itself followed my seafood linguine - both excellent - this was my second visit here and did not disappoint busy at lunchtime the service is friendly and the food is freshly cookedwould like to come back in the evening to sample one of the fish dishes which was not avalailable at lunchtinemisses out on the 'excellent' rating as i was gasping for a cup of italian coffee and they had no coffee as the coffee maker was caput!,portions i minestrone soup meal seafood linguine visit service food cookedwould evening fish dishes'excellent rating i cup coffee coffee coffee maker caput,24.1919863683
835,"we both had pasta, but the pizzas and meat dishes all looked excellent and the other diners seemed very happy with their choices.the restaurant has only been open for 4 months and if our experience is anything to go by, will be a bright light on finchley road for hungry diners for years to come.the warmth of the staff and the quality of the cooking would tempt me to make a special journey there even when not in the area.",pasta pizzas meat dishes diners choices.the restaurant months experience anything light finchley road diners years warmth staff quality cooking journey area,24.1444988057
328,"top food, excellent informal atmospher for someone who want to experience something extraordinary.all the best to the charming italiankjersti (and tor)
booked for peak time and had to wait 15 minutes for our table - was very generously offered a drink whilst we were waiting !restaurant was very busy but management and waiting staff and even the chef were on top form.ok so this is not smart dining but the ambience is excellent as was what we ate - we shared the mixed appetizer plate with one of bread, olives and oil and this was great quality and really sufficient for two.",food informal atmospher someone something italiankjersti tor time minutes drink restaurant management staff chef form.ok ambience appetizer plate bread olives oil quality,23.724966903
368,"best food around complemented by lovely staff and atmosphere , can't wait to go back and try more food , best meatballs pizza and pasta i've ever had if there was a option for 10 stars id use it
this restaurant is absoloutely wonderful serving the best italian food in england and quite honestly probably even in italy, definitely returning her again.",food staff atmosphere food meatballs pizza pasta i option stars use restaurant food england italy,23.664987033
119,"my children had mickey mouse pizzas which they thoroughly enjoyed and us adults had fried corgettes, calamari, antipasto, carbonara and another pasta dish, all was beautifully presented and incredibly tasty.",children mouse pizzas adults corgettes calamari antipasto carbonara pasta dish tasty,23.6632258025
1304,"he was super friendly and kept joking with us through our visit.i'm a restaurant manager myself and know that you can't train someone to give that level of customer service.i completely understand why people score this restaurant so highly.i do love my food and pizza is my favourite .the food was just what we needed and my pizza was one of the best i had in london
as long standing locals very happy to recomend fiddies.",visit.i restaurant manager someone level customer service.i people restaurant food pizza food pizza i london standing locals fiddies,23.5778606018
1297,my second visit to fiddies and it didnt disappoint we were a party of four and had a mixture of pasta dishes and pizzas all were excellent .although the food is great the star of the restaurant is the owner we were an hour late and yet he still kept our table for us and made us feel really welcome he was funny and attentive without being intrusive throughout the meal.as mentioned in other reviews dont be put off by the look of the place it looks very ordinary from the outside but certainly is not ordinary when it comes to the food and service if your visiting london make the effort to come out to swiss cottage and try this place you won't be disappointed.,visit fiddies disappoint party mixture pasta dishes food star restaurant owner hour table meal.as reviews look place food service effort cottage place,23.459659886
782,"the owner, fiddie, is the star of the place, and invites guests in warmly with a huge smile and great banter.the food is fresh and tasty - my husband had a pizza and i chose a pasta - both generous sizes and really flavoursome.",owner fiddie star place guests warmly smile banter.the food husband pizza i pasta sizes,23.1693000664
992,this is a small and simple restaurant conveniently located for swiss cottage/finchley road that serves up tasty pasta and pizza dishes with reasonable portion sizes and relatively low waiting times.,restaurant cottage/finchley road pasta pizza dishes portion sizes times,23.0778680331
185,"we had an early dinner on a wednesday evening, by the time we left at about 6:30 the restaurant was buzzing.the menu is good with a wide range of pasta and pizza and meat and fish main dishes.",dinner evening time restaurant menu range pasta pizza meat dishes,22.5120077794
507,"i maybe wouldn't go here for a sophisticated evening to show off my extensive knowledge of the latest fads in cuisine, but for a delicious, extraordinarily well-priced meal to relax and gossip over with friends - which is what we were doing prior to going to the theatre afterwards - it was perfect.",i evening knowledge fads cuisine meal friends theatre,22.1430834564
