,original_sents,Trimmed sentences,weights
471,"great quality honest italian food, generous portions, great prices",quality food portions prices,8.3784725918
293,my extensive knowledge,knowledge,8.3613724052
219,food and faboulous portions,food portions,8.1144561519
252,smaller groups,groups,8.0324350756
353,old movie posters,movie posters,7.7495326268
214,excellent food and great background music,food background music,7.5884261295
453,excellent portion sizes,portion sizes,7.5444811238
224,"food and good value eatery, nothing",food value eatery nothing,7.4944775514
220,a fast food restaurant,food restaurant,7.4944775514
51,my recent business trip to north london,business trip london,7.4663839641
422,my whole perception,perception,7.4480220511
542,a huge smile and great banter.the food is fresh and tasty - my husband,smile banter.the food husband,7.3717570416
452,a large portion,portion,7.3698912878
454,generous portions,portions,7.3698912878
238,such a fun bubblyatmosphere,fun,7.3440355955
185,a nice family run business,family run business,7.2947636037
101,the local community,community,7.2641152407
601,a positive thing,thing,7.211815786
223,"amazing food, friendly staff, reasonable prices",food staff prices,7.159118687
217,the food - garlic bread,food garlic bread,7.074453992
366,all night trip advisor,night trip advisor,7.0379981343
676,my 11 year old daughter,year daughter,7.0351596656
637,vat registered?food,vat food,7.0014415717
216,food very fresh and lovely flavours,food flavours,6.9274189515
288,justice,justice,6.9022228528
416,a pasta - both generous sizes,pasta sizes,6.8793205974
110,swiss cottage and finchley road,cottage finchley road,6.8593209488
215,excellent food and excellent company,food company,6.8059528499
563,very friendly staff food,staff food,6.8059528499
218,busy and good food special lunch deal,food lunch deal,6.8059528499
630,great value italian food,value food,6.8059528499
221,food ok. good service,food service,6.8059528499
222,great food great staff,food staff,6.8059528499
38,the boss and good care and good food,boss care food,6.8059528499
213,. great food,food,6.8059528499
537,simple food,simple food,6.8059528499
37,the usual boring italian food,boring food,6.8059528499
368,top notch food,notch food,6.8059528499
475,"quick, clean, marvelous food",quick food,6.8059528499
268,homemade italian food,homemade food,6.8059528499
231,really good fresh food,fresh food,6.8059528499
470,a great quality authentic italian food,quality food,6.8059528499
595,such authentic tasty italian food,tasty food,6.8059528499
396,"very friendly owner and staff, good prices",owner staff prices,6.7519162275
233,an amazing friday evening,friday evening,6.7224273693
513,a cold saturday evening,saturday evening,6.7224273693
297,very high levels,levels,6.7194867942
169,the evening specials,evening specials,6.7140989132
49,business,business,6.6925023057
50,a recent business trip,business trip,6.6925023057
151,the charming dispute,dispute,6.6708762848
273,the hotel room,hotel room,6.6567144566
348,a mixture,mixture,6.6477322105
600,thanks,thanks,6.6358337816
530,complimentary shot,shot,6.6358337816
677,21 year olds,year olds,6.6280210815
245,a very nice gesture,gesture,6.6277341561
479,a good rapport,rapport,6.5738531673
116,"fried courgette) and deep-fried calamari, both superb and extremely generous servings",courgette calamari superb servings,6.5733976844
415,excellent home-style pasta and pizza dishes,pasta pizza dishes,6.5324150453
135,fancy decorations,decorations,6.5274378986
249,goodness,goodness,6.4972750762
489,special requests,requests,6.4949901738
659,2 weeks,weeks,6.4871332516
660,a few weeks' time,weeks time,6.4871332516
202,fiddie's a few weeks,fiddie weeks,6.4871332516
167,a great eve,eve,6.4871332516
168,a wonderful evening,evening,6.4871332516
349,a few months,months,6.4871332516
607,relatively low waiting times,times,6.4871332516
198,fiddie's last night,fiddie night,6.4871332516
365,a saturday night,night,6.4871332516
652,the first warm night,warm night,6.4871332516
635,value.the cypriot owner,value.the cypriot owner,6.4658786707
394,the owner gentleman,owner gentleman,6.4524332925
35,my booking,booking,6.4058686182
173,everything!the owner,everything owner,6.3457666259
393,the owner fiddie,owner fiddie,6.3457666259
263,the hearty italian owner,hearty owner,6.3457666259
392,owner run,owner,6.3457666259
663,the welcoming owner,welcoming owner,6.3457666259
447,the pleasant owner,pleasant owner,6.3457666259
395,the owner neo,owner neo,6.3457666259
521,small - only 30 seats,seats,6.3421509461
283,the simple italian-food lovers,italian-food lovers,6.3384406185
235,friends,friends,6.3320914122
208,such a strong flavour dressing,flavour dressing,6.3310123719
186,not the usual cosy family style italian restaurant,family style restaurant,6.2931183594
184,"the best, family friendly restaurants",family restaurants,6.2931183594
267,real italian home cooking,home cooking,6.2779011049
106,very good italian cooking,cooking,6.2779011049
481,a very friendly reception,reception,6.2652078704
501,a main road,road,6.2652078704
113,swiss cottage/finchley road,cottage/finchley road,6.2652078704
411,pasta dishes,pasta dishes,6.2195907962
412,pasta - i,pasta i,6.2122592601
518,only the seafood options,seafood options,6.1957676635
490,any other requirements,requirements,6.1844853416
6,just one advice book,advice book,6.1652068715
5,frank advice,advice,6.1652068715
228,italian foods,foods,6.161398671
529,the shard family,shard family,6.1608758994
330,meat and fish main dishes,meat dishes,6.1529241295
318,the lunchtime specials,lunchtime specials,6.1414486122
331,meat and sea-food as well as pizzas,meat sea-food pizzas,6.1397641717
102,my companion's pasta,companion pasta,6.1394716457
520,the additional seasoning,seasoning,6.139012216
250,a very warm greeting,greeting,6.1175878239
105,your conversation,conversation,6.1142998421
336,big and good memories,memories,6.1051417446
109,swiss cottage area,cottage area,6.0967461347
598,the nutty texture,texture,6.0953061774
175,my expectations,expectations,6.0872428306
290,kids pizzas,kids pizzas,6.0846881185
227,italian food.in summary,food.in summary,6.0842544906
134,lovely decor,decor,6.0781493791
23,authenticity,authenticity,6.0712076491
104,the perfect consistency,consistency,6.0712076491
636,a good variety,variety,6.0712076491
92,first class,class,6.0712076491
53,any black cab drivers,cab drivers,6.0629139509
559,a spicy sausage pasta,spicy sausage pasta,6.0611661131
302,an instant liking,liking,6.0602174752
584,a late sunday afternoon,sunday afternoon,6.0577870059
261,the terrible hangover,hangover,6.0461474548
405,just some small particles,particles,6.0418810052
119,main courses,courses,6.0358337816
122,our only criticism,criticism,6.0313633341
359,the mussel pasta,mussel pasta,6.0224594023
519,my seafood pasta,seafood pasta,6.0138446845
183,a special family meal,family meal,6.0107188128
281,good inroads,inroads,6.0025089468
409,pasta carbonara,pasta carbonara,5.9995294246
64,a carbonara pasta dish,carbonara pasta dish,5.9995294246
527,the very generous servings,servings,5.9847856459
12,the antipasto beautiful presentation,antipasto presentation,5.9827865006
432,a few pieces,pieces,5.980600473
602,the hardest things,things,5.9664680414
67,usual chain pizza places,chain pizza places,5.9537066676
672,good wine selection,wine selection,5.9427804802
522,a small but very good selection,selection,5.9427804802
410,another pasta dish,pasta dish,5.8936065893
408,fresh pasta,pasta,5.8936065893
414,a pasta pasta,pasta pasta,5.8936065893
232,fresh/homemade pasta,fresh/homemade pasta,5.8936065893
413,the pasta moist,pasta moist,5.8936065893
87,the chicken/mushroom/cream pasta,chicken/mushroom/cream pasta,5.8936065893
